inst#,actual,predicted,error,prediction
1,1:diaporthe-stem-canker,1:diaporthe-stem-canker,,0.85
2,15:frog-eye-leaf-spot,14:alternarialeaf-spot,+,0.853
3,1:diaporthe-stem-canker,1:diaporthe-stem-canker,,0.909
4,1:diaporthe-stem-canker,1:diaporthe-stem-canker,,0.909
5,14:alternarialeaf-spot,14:alternarialeaf-spot,,0.955
6,1:diaporthe-stem-canker,1:diaporthe-stem-canker,,0.85
7,1:diaporthe-stem-canker,1:diaporthe-stem-canker,,0.85
8,14:alternarialeaf-spot,14:alternarialeaf-spot,,0.737
9,13:phyllosticta-leaf-spot,13:phyllosticta-leaf-spot,,1
10,5:brown-stem-rot,5:brown-stem-rot,,1
11,2:charcoal-rot,2:charcoal-rot,,0.92
12,14:alternarialeaf-spot,14:alternarialeaf-spot,,0.853
13,4:phytophthora-rot,4:phytophthora-rot,,0.984
14,16:diaporthe-pod-&-stem-blight,16:diaporthe-pod-&-stem-blight,,0.887
15,10:bacterial-pustule,10:bacterial-pustule,,0.903
16,2:charcoal-rot,2:charcoal-rot,,0.92
17,12:anthracnose,12:anthracnose,,0.971
18,15:frog-eye-leaf-spot,15:frog-eye-leaf-spot,,1
19,8:brown-spot,8:brown-spot,,1
20,4:phytophthora-rot,4:phytophthora-rot,,0.984
21,15:frog-eye-leaf-spot,15:frog-eye-leaf-spot,,1
22,14:alternarialeaf-spot,14:alternarialeaf-spot,,0.955
23,15:frog-eye-leaf-spot,15:frog-eye-leaf-spot,,0.429
24,8:brown-spot,8:brown-spot,,0.941
25,3:rhizoctonia-root-rot,3:rhizoctonia-root-rot,,1
26,15:frog-eye-leaf-spot,15:frog-eye-leaf-spot,,1
27,14:alternarialeaf-spot,15:frog-eye-leaf-spot,+,0.667
28,3:rhizoctonia-root-rot,3:rhizoctonia-root-rot,,1
29,5:brown-stem-rot,5:brown-stem-rot,,1
30,17:cyst-nematode,17:cyst-nematode,,0.649
31,15:frog-eye-leaf-spot,15:frog-eye-leaf-spot,,1
32,4:phytophthora-rot,4:phytophthora-rot,,0.984
33,5:brown-stem-rot,5:brown-stem-rot,,1
34,19:herbicide-injury,18:2-4-d-injury,+,0.669
35,4:phytophthora-rot,4:phytophthora-rot,,0.984
36,4:phytophthora-rot,4:phytophthora-rot,,0.984
37,15:frog-eye-leaf-spot,15:frog-eye-leaf-spot,,1
38,14:alternarialeaf-spot,14:alternarialeaf-spot,,0.853
39,15:frog-eye-leaf-spot,15:frog-eye-leaf-spot,,1
