inst#,actual,predicted,error,prediction
1,1:democrat,1:democrat,,1
2,1:democrat,1:democrat,,1
3,1:democrat,2:republican,+,0.999
4,1:democrat,1:democrat,,1
5,1:democrat,1:democrat,,0.847
6,1:democrat,1:democrat,,0.745
7,2:republican,2:republican,,1
8,2:republican,2:republican,,1
9,2:republican,1:democrat,+,1
10,1:democrat,1:democrat,,1
11,2:republican,2:republican,,1
12,2:republican,2:republican,,1
13,1:democrat,1:democrat,,1
14,1:democrat,1:democrat,,1
15,1:democrat,1:democrat,,1
16,2:republican,2:republican,,1
17,1:democrat,1:democrat,,1
18,2:republican,1:democrat,+,0.657
19,1:democrat,1:democrat,,1
20,2:republican,1:democrat,+,0.817
21,1:democrat,1:democrat,,1
22,2:republican,1:democrat,+,0.681
23,1:democrat,1:democrat,,1
24,1:democrat,1:democrat,,1
25,1:democrat,1:democrat,,1
26,2:republican,2:republican,,1
27,1:democrat,1:democrat,,1
28,2:republican,2:republican,,1
29,1:democrat,1:democrat,,0.976
30,1:democrat,1:democrat,,1
31,2:republican,2:republican,,1
32,1:democrat,1:democrat,,1
33,1:democrat,1:democrat,,1
34,1:democrat,1:democrat,,1
35,2:republican,2:republican,,1
36,2:republican,2:republican,,1
37,2:republican,2:republican,,1
38,2:republican,2:republican,,1
39,1:democrat,1:democrat,,1
40,1:democrat,1:democrat,,1
41,1:democrat,1:democrat,,1
42,1:democrat,1:democrat,,1
43,1:democrat,1:democrat,,1
44,1:democrat,1:democrat,,1
45,1:democrat,1:democrat,,1
46,1:democrat,1:democrat,,1
47,1:democrat,1:democrat,,1
48,1:democrat,1:democrat,,1
49,1:democrat,1:democrat,,1
50,2:republican,2:republican,,1
51,2:republican,2:republican,,1
52,1:democrat,1:democrat,,1
53,1:democrat,1:democrat,,1
54,2:republican,2:republican,,1
55,1:democrat,1:democrat,,1
56,1:democrat,1:democrat,,1
57,1:democrat,1:democrat,,1
58,1:democrat,1:democrat,,1
59,2:republican,2:republican,,1
60,2:republican,2:republican,,1
61,2:republican,2:republican,,0.7
62,1:democrat,2:republican,+,1
63,1:democrat,1:democrat,,1
64,1:democrat,1:democrat,,1
65,2:republican,2:republican,,1
66,1:democrat,1:democrat,,0.97
67,2:republican,2:republican,,1
68,1:democrat,1:democrat,,1
69,2:republican,2:republican,,1
70,2:republican,2:republican,,0.997
71,1:democrat,1:democrat,,1
72,2:republican,1:democrat,+,1
73,1:democrat,1:democrat,,1
74,2:republican,1:democrat,+,0.535
75,1:democrat,1:democrat,,1
76,1:democrat,2:republican,+,1
77,1:democrat,2:republican,+,0.995
78,1:democrat,1:democrat,,1
79,1:democrat,1:democrat,,1
80,1:democrat,1:democrat,,1
81,2:republican,2:republican,,1
82,1:democrat,1:democrat,,1
83,2:republican,2:republican,,0.982
84,2:republican,2:republican,,1
85,2:republican,2:republican,,1
86,1:democrat,2:republican,+,0.989
87,1:democrat,1:democrat,,1
88,1:democrat,1:democrat,,1
89,2:republican,2:republican,,1
90,1:democrat,1:democrat,,1
91,2:republican,1:democrat,+,1
92,1:democrat,1:democrat,,1
93,2:republican,2:republican,,1
94,1:democrat,1:democrat,,1
95,1:democrat,1:democrat,,0.998
96,1:democrat,1:democrat,,0.999
97,2:republican,2:republican,,1
98,1:democrat,1:democrat,,0.885
99,1:democrat,1:democrat,,1
100,1:democrat,1:democrat,,1
101,1:democrat,2:republican,+,0.983
102,1:democrat,1:democrat,,1
103,1:democrat,1:democrat,,1
104,1:democrat,2:republican,+,0.885
105,1:democrat,1:democrat,,0.998
106,2:republican,2:republican,,1
107,2:republican,2:republican,,1
108,2:republican,2:republican,,0.782
109,2:republican,2:republican,,1
110,2:republican,2:republican,,1
111,1:democrat,1:democrat,,1
112,1:democrat,2:republican,+,1
113,1:democrat,1:democrat,,1
114,2:republican,1:democrat,+,0.883
115,2:republican,2:republican,,1
116,2:republican,2:republican,,1
117,2:republican,2:republican,,0.999
118,1:democrat,1:democrat,,1
119,1:democrat,1:democrat,,1
120,2:republican,2:republican,,1
121,1:democrat,1:democrat,,1
122,2:republican,2:republican,,1
123,2:republican,2:republican,,1
124,1:democrat,1:democrat,,1
125,1:democrat,1:democrat,,1
126,1:democrat,1:democrat,,1
127,1:democrat,1:democrat,,1
128,1:democrat,1:democrat,,1
129,1:democrat,1:democrat,,1
130,1:democrat,1:democrat,,1
131,1:democrat,1:democrat,,1
132,1:democrat,1:democrat,,1
133,1:democrat,1:democrat,,1
134,2:republican,2:republican,,1
135,2:republican,2:republican,,1
136,2:republican,2:republican,,0.992
137,2:republican,2:republican,,1
138,1:democrat,1:democrat,,1
139,1:democrat,1:democrat,,1
140,2:republican,2:republican,,1
141,2:republican,2:republican,,0.999
142,2:republican,2:republican,,0.998
143,1:democrat,2:republican,+,1
144,1:democrat,1:democrat,,1
145,1:democrat,1:democrat,,1
146,1:democrat,1:democrat,,1
147,2:republican,2:republican,,1
148,1:democrat,1:democrat,,1
