@relation InstanceResultListener

@attribute Key_Dataset {labor-neg-data,soybean,vote}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.bayes.NaiveBayes}
@attribute Key_Scheme_options {'-C 0.25 -M 2',''}
@attribute Key_Scheme_version_ID {-217733168393644444,5995231201785697655}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 5\nSize of the tree: 8\n','Number of leaves: 55\nSize of the tree: 85\n','Number of leaves: 48\nSize of the tree: 72\n','Number of leaves: 53\nSize of the tree: 80\n','Number of leaves: 58\nSize of the tree: 86\n','Number of leaves: 57\nSize of the tree: 87\n','Number of leaves: 63\nSize of the tree: 91\n','Number of leaves: 54\nSize of the tree: 80\n','Number of leaves: 60\nSize of the tree: 89\n','Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 6\nSize of the tree: 11\n','Number of leaves: 8\nSize of the tree: 15\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

labor-neg-data,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20161107.1539,38,19,16,3,0,84.210526,15.789474,0,0.650307,0.268572,0.365417,58.318415,75.698317,18.059873,12.015282,6.044591,0.95052,0.632383,0.318136,8.338024,0.438843,892.656987,0.714286,5,0.083333,1,0.916667,11,0.285714,2,0.833333,0.714286,0.769231,0.65477,0.815476,0.700501,0.842105,0.211153,0.788847,0.157895,0.84143,0.842105,0.83919,0.65477,0.815476,0.781199,0.824615,0.842105,0.013,0.001,0.008978,0.001063,8.978,1.063,4951,9167,6032,100,100,'Number of leaves: 2\nSize of the tree: 3\n',3,2,2
labor-neg-data,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20161107.1539,37,20,17,3,0,85,15,0,0.634146,0.241905,0.365541,52.853168,76.624551,18.686429,12.523672,6.162758,0.934321,0.626184,0.308138,9.314904,0.465745,989.023373,0.571429,4,0,0,1,13,0.428571,3,1,0.571429,0.727273,0.681385,0.769231,0.721429,0.85,0.278571,0.721429,0.15,0.878125,0.85,0.837304,0.681385,0.769231,0.773125,0.811912,0.85,0.004,0.001,0.003717,0.000313,3.717,0.313,5315,9002,6197,100,100,'Number of leaves: 3\nSize of the tree: 5\n',5,3,3
labor-neg-data,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20161107.1539,37,20,14,6,0,70,30,0,0.340659,0.342734,0.476768,74.883123,99.940114,18.686429,19.640996,-0.954566,0.934321,0.98205,-0.047728,4.646151,0.232308,493.311723,0.571429,4,0.230769,3,0.769231,10,0.428571,3,0.571429,0.571429,0.571429,0.340659,0.67033,0.476531,0.7,0.359341,0.640659,0.3,0.7,0.7,0.7,0.340659,0.67033,0.648901,0.67033,0.7,0.004,0.001,0.003445,0.000331,3.445,0.331,4951,9002,6197,100,100,'Number of leaves: 2\nSize of the tree: 3\n',3,2,2
labor-neg-data,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20161107.1539,37,20,13,7,0,65,35,0,0.3,0.330438,0.514009,72.196446,107.74649,18.686429,2161.878235,-2143.191806,0.934321,108.093912,-107.15959,4.666412,0.233321,495.463021,0.714286,5,0.384615,5,0.615385,8,0.285714,2,0.5,0.714286,0.588235,0.314485,0.697802,0.505896,0.65,0.32033,0.67967,0.35,0.695,0.65,0.658056,0.314485,0.697802,0.673934,0.641944,0.65,0.002,0.001,0.00197,0.000441,1.97,0.441,5315,9002,6197,90,75,'Number of leaves: 3\nSize of the tree: 5\n',5,3,3
labor-neg-data,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20161107.1539,37,20,16,4,0,80,20,0,0.56044,0.29677,0.41178,64.840563,86.317182,18.686429,15.691868,2.994561,0.934321,0.784593,0.149728,7.002123,0.350106,743.460466,0.714286,5,0.153846,2,0.846154,11,0.285714,2,0.714286,0.714286,0.714286,0.56044,0.813187,0.645918,0.8,0.23956,0.76044,0.2,0.8,0.8,0.8,0.56044,0.813187,0.780046,0.78022,0.8,0.004,0,0.00333,0.000373,3.33,0.373,5315,9002,6197,100,100,'Number of leaves: 3\nSize of the tree: 5\n',5,3,3
labor-neg-data,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20161107.1539,39,18,16,2,0,88.888889,11.111111,0,0.75,0.228283,0.340153,50.140775,71.986222,16.589316,11.119811,5.469505,0.921629,0.617767,0.303861,9.008258,0.500459,950.804735,0.833333,5,0.083333,1,0.916667,11,0.166667,1,0.833333,0.833333,0.833333,0.75,0.8125,0.777778,0.888889,0.138889,0.861111,0.111111,0.888889,0.888889,0.888889,0.75,0.8125,0.813687,0.875,0.888889,0.003,0,0.002739,0.000321,2.739,0.321,5679,9332,5867,94.444444,94.444444,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
labor-neg-data,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20161107.1539,37,20,18,2,0,90,10,0,0.78022,0.178361,0.341852,38.969718,71.658918,18.686429,1080.950228,-1062.263798,0.934321,54.047511,-53.11319,11.786639,0.589332,1251.463314,0.857143,6,0.076923,1,0.923077,12,0.142857,1,0.857143,0.857143,0.857143,0.78022,0.868132,0.77449,0.9,0.11978,0.88022,0.1,0.9,0.9,0.9,0.78022,0.868132,0.852135,0.89011,0.9,0.001,0.001,0.001388,0.000324,1.388,0.324,5849,9002,6197,95,72.5,'Number of leaves: 5\nSize of the tree: 8\n',8,5,5
labor-neg-data,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20161107.1539,38,19,15,4,0,78.947368,21.052632,0,0.518987,0.26504,0.418709,57.551571,86.738128,18.059873,14.424537,3.635335,0.95052,0.759186,0.191333,7.745492,0.407657,829.221375,0.571429,4,0.083333,1,0.916667,11,0.428571,3,0.8,0.571429,0.666667,0.534682,0.75,0.729323,0.789474,0.301378,0.698622,0.210526,0.790977,0.789474,0.780027,0.534682,0.75,0.757015,0.75641,0.789474,0.002,0,0.001308,0.000292,1.308,0.292,5315,9167,6032,100,89.473684,'Number of leaves: 3\nSize of the tree: 5\n',5,3,3
labor-neg-data,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20161107.1539,39,18,14,4,0,77.777778,22.222222,0,0.5,0.299069,0.427788,65.688273,90.532323,16.589316,14.79395,1.795366,0.921629,0.821886,0.099743,6.009013,0.333834,634.240068,0.666667,4,0.166667,2,0.833333,10,0.333333,2,0.666667,0.666667,0.666667,0.5,0.75,0.555556,0.777778,0.277778,0.722222,0.222222,0.777778,0.777778,0.777778,0.5,0.75,0.722222,0.75,0.777778,0.001,0,0.001577,0.000293,1.577,0.293,4951,9332,5867,100,100,'Number of leaves: 2\nSize of the tree: 3\n',3,2,2
